Recipe Name;Review Count;Recipe Photo;Author;Prepare Time;Cook Time;Total Time;Ingredients;Directions;RecipeID
Golden Crescent Rolls Recipe ;304;https://images.media-allrecipes.com/userphotos/560x315/4465807.jpg;Mike A.;25 m;15 m;3 h 10 m;yeast,water,white sugar,salt,egg,butter,flour,butter;Dissolve yeast in warm water.**Stir in sugar, salt, eggs, butter, and 2 cups of flour. Beat until smooth. Mix in remaining flour until smooth. Scrape dough from side of bowl. Knead dough, then cover it and let rise in a warm place until double (about 1 1/2 hours).**Punch down dough. Divide in half. Roll each half into a 12-inch circle. Spread with butter. Cut into 10 to 15 wedge. Roll up the wedges starting with the wide end. Place rolls with point under on a greased baking sheet. Cover and let rise until double (about 1 hour).**Bake at 400 degrees F (205 degrees C) for 12-15 minute or until golden brown. Brush tops with butter when they come out of the oven.**;7000
Mocha Chocolate Chip Banana Muffins Recipe ;579;https://images.media-allrecipes.com/userphotos/560x315/1334257.jpg;Shelley Ross;10 m;25 m;35 m;margarine,white sugar,egg,banana,coffee,water,vanilla,flour,salt,baking powder,baking soda,chocolate;Preheat oven to 350 degrees F (175 degrees C).**Blend butter or margarine, sugar, egg, banana, dissolved coffee, and vanilla in food processor for 2 minutes. Add flour, salt, baking powder, and soda, and blend just until flour disappears. Add chocolate chips and mix in with wooden spoon. Spoon mixture into 15 to 18 paper-lined muffin cups.**Bake for 25 minutes.  Cool on wire racks.**;7013
Dirt Cake I Recipe ;541;https://images.media-allrecipes.com/userphotos/560x315/1073531.jpg;Tammy Hooper;X;X;X;butter,cream cheese,sugar,vanilla,milk,topping thawed,chocolate;Chop cookies very fine in food processor. The white cream will disappear.**Mix butter, cream cheese, and sugar in bowl.**In a large bowl mix milk, pudding and whipped topping together.**Combine pudding mixture and cream mixture together.**Layer in flower pot, starting with cookies then cream mixture.  Repeat layers.**Chill until ready to serve.**Add artificial flower and trowel.  Enjoy!**;7255
'Grandma''s Eggless, Butterless, Milkless Cake Recipe ';234;https://images.media-allrecipes.com/userphotos/250x250/647082.jpg;Tina Demasi-Lemons;X;X;X;flour,white sugar,cocoa powder,baking soda,baking powder,vegetable oil,water,vinegar,vanilla;'In a large bowl, combine all the dry ingredients together.**Combine all the wet ingredients together in another bowl.**Pour the liquid ingredients all at once into the dry ingredients, and beat until smooth.**Pour batter into a greased 9 x 13 inch pan.**Bake in a preheated 350 degrees F (175 degrees C) oven for 20-25 minutes.  Let cool in pan.  When cool sprinkle with confectioners'' sugar.**';7259
Fabulous Fudge Chocolate Cake Recipe ;202;https://images.media-allrecipes.com/userphotos/250x250/971031.jpg;Charmaine Brooks;X;X;X;flour,baking soda,salt,butter,brown sugar,egg,vanilla,chocolate,sour cream,water,butter,brown sugar,milk,sugar;'Preheat oven to 350 degrees F (175 degrees C).**Sift together the flour, baking soda and salt.  Set aside.**In a large bowl, beat 1/2 cup butter or margarine and 2 1/2 cups brown sugar until well mixed.  Add eggs one at a time.   Beat in the vanilla and melted chocolate squares.  Add 1/2 the sour cream and then 1/2 the dry ingredients to the butter mixture until well blended.**Add the remaining sour cream and dry ingredients to the batter.  Stir in boiling water.**Bake in a greased 9 X 13 inch pan for 35 minutes.**Let cool 10 minutes before icing.**To Make Caramel Icing:   First melt 1/2 cup butter in a saucepan.  Stir in 1 cup brown sugar and boil  about 2 minutes.  Stir in 1/4 cup milk and bring to a boil.  Place pan in cold water and stir in the confectioners'' sugar.  Continue stirring until smooth.  Spread over still warm cake.**';7269
No Bake Cheesecake I Recipe ;194;https://images.media-allrecipes.com/userphotos/560x315/436044.jpg;Jennifer Gurule;30 m;X;2 h;ham,cookies,butter,white sugar,cream cheese,white sugar,lemon juice,whipping cream,strawberry;In a bowl, mix together crushed cookies and graham crackers with melted butter and the 3 tablespoons sugar.**Press into a 7 inch springform pan. Place in refrigerator until ready for use.**In another bowl, beat cream cheese, 1/3 cup of sugar and lemon juice.**Whip cream, and fold into cream cheese mixture.**Spread into pan.**Top with sliced strawberries (optional).   Freeze for 1 hour, covered with foil.**Place in refrigerator 30 minutes before serving.**;7270
Awesome Carrot Cake with Cream Cheese Frosting Recipe ;927;https://images.media-allrecipes.com/userphotos/560x315/2806293.jpg;Tracy Kirk;30 m;40 m;1 h 40 m;carrot,flour,white sugar,baking soda,baking powder,salt,cinnamon,egg,applesauce,vegetable oil,vanilla,pineapple,pecan,sugar,cheese,butter,vanilla,pecan;'Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x13 inch pan.**In a large bowl, combine grated carrots, flour, white sugar, baking soda, baking powder, salt and cinnamon. Stir in eggs, applesauce, oil, 1 1/4 teaspoon vanilla, pineapple and 3/4 cup chopped pecans. Spoon batter into prepared pan.**Bake in the preheated oven for 30 to 40 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool.**To Make Frosting:  In a medium bowl, combine confectioners'' sugar, Neufchatel cheese, 1/2 cup butter or margarine and 1 1/4 teaspoons vanilla. Beat until smooth, then stir in 1 cup chopped pecans. Spread on cooled cake.**';7272
Easy Lemon Cake Recipe ;125;https://images.media-allrecipes.com/userphotos/250x250/20604.jpg;v monte;X;X;X;cake,lemon,vegetable oil,egg,water,lemon,sugar,lemon juice;'Combine gelatin mix and cake mix. Mix well.**Add next 4 ingredients - oil, eggs, water and lemon extract. Mix lightly.**Bake according to instructions on back of cake box.**To Make Frosting:  Combine confectioners'' sugar and lemon juice.**When cake is done, and while still hot, ice with frosting.**';7276
Brownie Torte Recipe ;96;https://images.media-allrecipes.com/userphotos/250x250/77084.jpg;WILDFLOWER12;X;X;X;butter,corn syrup,chocolate,white sugar,egg,vanilla,flour,walnut,chocolate,butter,corn syrup,vanilla,strawberry;Butter and flour a 9 inch round cake pan.**In a pan over low heat, melt 1/2 cup butter and 1/2 cup light corn syrup.**Stir in 1 cup chocolate chips until melted.**Remove from heat and add sugar and eggs, and stir until blended.**Stir in 1 teaspoon vanilla , flour, and nuts.**Pour into pan. Bake at 350 degrees F (175 degrees C) for 30 minutes, or until center springs back when touched.**Cool in pan 10 minutes. Then place on a cooling rack.**To Make Glaze:   Combine chocolate chips, 2 tablespoons butter or margarine and corn syrup in pan. Stir over low heat till chocolate chips are melted. Remove from heat.  Stir in vanilla.**Frost tops and sides of torte.   Chill until set.  Garnish with sliced strawberries.**;7278
Dump Cake I Recipe ;242;https://images.media-allrecipes.com/userphotos/560x315/216873.jpg;Wilma Hull;10 m;40 m;50 m;cherry,pineapple,cake,walnut,butter;In a 9x13 inch pan mix cherries and pineapple.  Sprinkle dry cake mix over pineapple, and cherry mixture stir until just combined. Then sprinkle walnuts over top.  Drizzle top with melted butter or margarine.**Bake in a 350 degree F (175 degree C) oven for 35 or 40 minutes or until golden brown.**;7288
