user_id,recommendations
204837  ,"[(16526, 4.855882814838746), (14939, 4.84409719260108), (21174, 4.8284994579759335), (21015, 4.819822376124618), (22304, 4.8187710491648446), (24421, 4.813776431606916), (21052, 4.807701823257505), (18027, 4.805644662248503), (22967, 4.802808552202602), (9959, 4.798001519245893), (21601, 4.796331650710751), (13838, 4.794717004635304), (24768, 4.7933047590139575), (10477, 4.792952197397231), (21412, 4.791551573611147), (9184, 4.785940294179355), (25642, 4.7854311295706), (22911, 4.783179984123959), (7364, 4.782751559160665), (16794, 4.78008830860235)]"
77852   ,"[(17701, 4.814086979767169), (16526, 4.806835650417311), (14939, 4.795050028179644), (21174, 4.779452293554498), (21015, 4.770775211703183), (22304, 4.769723884743409), (24421, 4.764729267185481), (21052, 4.758654658836069), (18027, 4.756597497827068), (22967, 4.753761387781166), (9959, 4.748954354824457), (21601, 4.747284486289316), (13838, 4.745669840213869), (24768, 4.744257594592522), (10477, 4.743905032975795), (21412, 4.742504409189712), (9184, 4.736893129757919), (25642, 4.736383965149164), (20476, 4.735055757807896), (22911, 4.734132819702523)]"
1654092 ,"[(17701, 4.662903723371027), (16526, 4.6556523940211685), (14939, 4.643866771783502), (21174, 4.628269037158356), (21015, 4.61959195530704), (22304, 4.618540628347267), (24421, 4.613546010789339), (21052, 4.607471402439927), (18027, 4.605414241430926), (22967, 4.602578131385024), (9959, 4.597771098428315), (21601, 4.596101229893174), (13838, 4.5944865838177265), (24768, 4.59307433819638), (10477, 4.592721776579653), (21412, 4.59132115279357), (9184, 4.585709873361777), (25642, 4.585200708753022), (20476, 4.583872501411753), (22911, 4.582949563306381)]"
644962  ,"[(17701, 4.750900593544592), (14939, 4.731863641957067), (21174, 4.716265907331921), (21015, 4.707588825480606), (22304, 4.706537498520832), (24421, 4.701542880962903), (21052, 4.695468272613492), (18027, 4.69341111160449), (22967, 4.690575001558589), (9959, 4.68576796860188), (21601, 4.6840981000667385), (13838, 4.682483453991291), (24768, 4.681071208369945), (10477, 4.680718646753218), (21412, 4.679318022967134), (9184, 4.673706743535342), (25642, 4.673197578926587), (20476, 4.671869371585318), (22911, 4.670946433479946), (7364, 4.670518008516652)]"
1026726 ,"[(17691, 5), (9999, 5), (9959, 5), (26819, 5), (16664, 5), (24087, 5), (11331, 5), (24340, 5), (25502, 5), (25642, 5), (23591, 5), (8669, 5), (16570, 5), (16098, 5), (17407, 5), (9857, 5), (7304, 5), (24720, 5), (25895, 5), (14231, 5)]"
3837544 ,"[(26819, 5), (16664, 5), (24340, 5), (25502, 5), (25642, 5), (16570, 5), (16098, 5), (17407, 5), (14231, 5), (9300, 5), (8818, 5), (7402, 5), (24952, 5), (21601, 5), (24494, 5), (24768, 5), (21712, 5), (16409, 5), (10477, 5), (11423, 5)]"
3100951 ,"[(17701, 4.9254300849503805), (16526, 4.918178755600522), (14939, 4.906393133362855), (21174, 4.890795398737709), (21015, 4.882118316886395), (22304, 4.88106698992662), (24421, 4.876072372368692), (21052, 4.86999776401928), (18027, 4.867940603010279), (22967, 4.865104492964377), (21601, 4.858627591472527), (13838, 4.85701294539708), (24768, 4.855600699775733), (10477, 4.8552481381590065), (21412, 4.853847514372923), (9184, 4.8482362349411305), (25642, 4.847727070332375), (20476, 4.846398862991107), (22911, 4.845475924885735), (7364, 4.84504749992244)]"
2676227 ,"[(17701, 4.970861046824451), (16526, 4.963609717474593), (14939, 4.951824095236926), (21174, 4.93622636061178), (21015, 4.9275492787604644), (22304, 4.926497951800691), (24421, 4.921503334242763), (21052, 4.915428725893351), (18027, 4.91337156488435), (22967, 4.910535454838448), (9959, 4.905728421881739), (21601, 4.904058553346598), (13838, 4.9024439072711505), (24768, 4.901031661649804), (10477, 4.900679100033077), (21412, 4.899278476246994), (9184, 4.893667196815201), (25642, 4.893158032206446), (20476, 4.8918298248651775), (22911, 4.890906886759805)]"
938152  ,"[(17701, 4.742397132199569), (16526, 4.73514580284971), (14939, 4.723360180612044), (21174, 4.707762445986898), (21015, 4.699085364135582), (22304, 4.698034037175809), (24421, 4.693039419617881), (21052, 4.686964811268469), (18027, 4.6849076502594675), (22967, 4.682071540213566), (9959, 4.677264507256857), (21601, 4.675594638721716), (13838, 4.673979992646268), (24768, 4.672567747024922), (10477, 4.672215185408195), (21412, 4.6708145616221115), (9184, 4.665203282190319), (25642, 4.664694117581564), (20476, 4.663365910240295), (22911, 4.662442972134923)]"
2107363 ,"[(17701, 4.378576376173226), (16526, 4.371325046823367), (14939, 4.359539424585701), (21174, 4.3439416899605545), (21015, 4.33526460810924), (22304, 4.334213281149466), (24421, 4.329218663591537), (21052, 4.323144055242126), (18027, 4.321086894233124), (22967, 4.318250784187223), (9959, 4.313443751230514), (21601, 4.311773882695372), (13838, 4.310159236619925), (24768, 4.3087469909985785), (10477, 4.308394429381852), (21412, 4.306993805595768), (9184, 4.301382526163976), (25642, 4.300873361555221), (20476, 4.299545154213952), (22911, 4.29862221610858)]"
2456451 ,"[(17701, 4.893072501639204), (16526, 4.885821172289345), (14939, 4.874035550051679), (21015, 4.849760733575218), (22304, 4.848709406615444), (24421, 4.843714789057516), (21052, 4.837640180708104), (18027, 4.8355830196991025), (22967, 4.832746909653201), (9959, 4.827939876696492), (21601, 4.826270008161351), (13838, 4.824655362085903), (24768, 4.823243116464557), (10477, 4.82289055484783), (21412, 4.8214899310617465), (9184, 4.815878651629954), (25642, 4.815369487021199), (20476, 4.81404127967993), (22911, 4.813118341574558), (7364, 4.812689916611264)]"
10156   ,"[(17701, 4.929138074162204), (14939, 4.910101122574679), (21174, 4.894503387949533), (21015, 4.8858263060982186), (22304, 4.884774979138444), (24421, 4.879780361580516), (21052, 4.873705753231104), (18027, 4.871648592222103), (22967, 4.868812482176201), (9959, 4.864005449219492), (21601, 4.862335580684351), (13838, 4.860720934608904), (24768, 4.859308688987557), (10477, 4.85895612737083), (21412, 4.857555503584747), (9184, 4.8519442241529545), (25642, 4.851435059544199), (20476, 4.850106852202931), (22911, 4.849183914097559), (7364, 4.848755489134264)]"
569860  ,"[(9959, 5), (26819, 5), (16664, 5), (24340, 5), (25502, 5), (25642, 5), (16570, 5), (16098, 5), (17407, 5), (14231, 5), (9300, 5), (7402, 5), (24952, 5), (21601, 5), (24494, 5), (24768, 5), (21712, 5), (16409, 5), (10477, 5), (11423, 5)]"
376947  ,"[(17701, 4.892999776262519), (16526, 4.88574844691266), (14939, 4.873962824674994), (21174, 4.858365090049848), (21015, 4.849688008198532), (22304, 4.848636681238759), (24421, 4.84364206368083), (21052, 4.837567455331419), (18027, 4.835510294322417), (22967, 4.832674184276516), (9959, 4.827867151319807), (21601, 4.8261972827846655), (13838, 4.824582636709218), (24768, 4.823170391087872), (10477, 4.822817829471145), (21412, 4.821417205685061), (9184, 4.815805926253269), (25642, 4.815296761644514), (20476, 4.813968554303245), (22911, 4.813045616197873)]"
687975  ,"[(17701, 4.833963930579406), (16526, 4.826712601229548), (14939, 4.814926978991881), (21174, 4.799329244366735), (21015, 4.7906521625154195), (22304, 4.789600835555646), (24421, 4.784606217997718), (21052, 4.778531609648306), (18027, 4.776474448639305), (22967, 4.773638338593403), (9959, 4.768831305636694), (21601, 4.767161437101553), (13838, 4.765546791026106), (24768, 4.764134545404759), (10477, 4.763781983788032), (21412, 4.762381360001949), (9184, 4.756770080570156), (25642, 4.756260915961401), (20476, 4.7549327086201325), (22911, 4.75400977051476)]"
2683147 ,"[(17701, 4.812495039308957), (16526, 4.8052437099590986), (14939, 4.793458087721432), (21174, 4.777860353096286), (21015, 4.769183271244971), (22304, 4.768131944285197), (24421, 4.763137326727269), (21052, 4.757062718377857), (18027, 4.755005557368856), (22967, 4.752169447322954), (9959, 4.747362414366245), (21601, 4.745692545831104), (13838, 4.7440778997556565), (24768, 4.74266565413431), (10477, 4.742313092517583), (21412, 4.7409124687315), (9184, 4.735301189299707), (25642, 4.734792024690952), (20476, 4.7334638173496835), (22911, 4.732540879244311)]"
1958749 ,"[(9959, 5), (21174, 5), (14939, 5), (17701, 5), (18027, 5), (16526, 5), (22304, 5), (21015, 5), (24421, 5), (13838, 4.998041401793144), (10477, 4.996276594555071), (21412, 4.994875970768987), (9184, 4.989264691337195), (25642, 4.98875552672844), (20476, 4.987427319387171), (22911, 4.986504381281799), (7364, 4.986075956318505), (16794, 4.98341270576019), (24952, 4.979818750857839), (7402, 4.9782515777772876)]"
3574351 ,"[(9959, 5), (25502, 5), (7402, 5), (24952, 5), (21601, 5), (24494, 5), (24768, 5), (21712, 5), (10477, 5), (11423, 5), (17652, 5), (21174, 5), (20476, 5), (14939, 5), (17701, 5), (13464, 5), (8236, 5), (21169, 5), (9454, 5), (7255, 5)]"
2975603 ,"[(17701, 4.896831229344452), (16526, 4.889579899994593), (14939, 4.8777942777569265), (21174, 4.86219654313178), (21015, 4.853519461280465), (22304, 4.8524681343206915), (24421, 4.847473516762763), (21052, 4.8413989084133515), (18027, 4.83934174740435), (22967, 4.8365056373584485), (9959, 4.83169860440174), (21601, 4.830028735866598), (13838, 4.828414089791151), (24768, 4.827001844169804), (10477, 4.826649282553078), (21412, 4.825248658766994), (9184, 4.819637379335202), (25642, 4.8191282147264465), (20476, 4.817800007385178), (22911, 4.816877069279806)]"
5709704 ,"[(9959, 5), (21601, 5), (24768, 5), (10477, 5), (21174, 5), (14939, 5), (17701, 5), (13838, 5), (18027, 5), (16526, 5), (22304, 5), (21015, 5), (21052, 5), (24421, 5), (22967, 5), (21412, 4.999111426081235), (9184, 4.993500146649443), (25642, 4.992990982040688), (20476, 4.991662774699419), (22911, 4.990739836594047)]"
540983  ,"[(21174, 5), (14939, 5), (17701, 5), (18027, 5), (16526, 5), (22304, 5), (21015, 5), (21052, 5), (24421, 5), (22967, 5), (9959, 4.9965835163513255), (21601, 4.994913647816184), (13838, 4.993299001740737), (24768, 4.99188675611939), (10477, 4.9915341945026634), (21412, 4.99013357071658), (25642, 4.984013126676032), (20476, 4.982684919334764), (22911, 4.981761981229392), (7364, 4.981333556266097)]"
6603201 ,"[(25642, 5), (21601, 5), (24768, 5), (10477, 5), (21174, 5), (20476, 5), (17701, 5), (13838, 5), (9184, 5), (18027, 5), (16526, 5), (22304, 5), (21015, 5), (21052, 5), (24421, 5), (21412, 5), (22967, 5), (22911, 5), (7364, 5), (16794, 4.998725349249971)]"
